idx,file,subject,stage,crop,ratio,heroC,hdrC,tileC,sqC,skin,skinY,skinLost,mean,sd,blown,sat,ringsat,cast
165,iStock-2195528393-modified-8490bf65-ca95-4c71-a68b-92e751d40d68.jpg,family,s5,H,1.497,1.091,1.19,1.029,1.142,0,0,0,174.0,64.3,0.0438,0.196,0.24,-11.6
166,iStock-2203756875.jpg,portrait,s5,T,1.5,1.194,1.253,1.077,1.336,0,0,0,113.9,37.6,0.0,0.89,0.932,-111.5
167,iStock-2204287173.jpg,family,s6,T,1.499,1.334,1.331,1.106,1.234,0,0,0,144.7,42.9,0.0,0.506,0.552,9.2
168,iStock-2207014800.jpg,social,s6,T,1.5,1.203,1.174,1.067,1.218,0,0,0,88.2,55.5,0.0003,0.691,0.724,-10.6
169,iStock-2216625459.jpg,strength,s3,T,1.5,1.079,1.045,1.071,1.015,0,0,0,77.0,55.2,0.0002,0.382,0.376,7.0
170,iStock-2218333108.jpg,clinical,s4,T,1.499,1.114,1.212,1.064,1.167,0,0,0,124.2,60.8,0.0,0.22,0.207,-11.4
171,iStock-2219519817.jpg,work,s6,T,2.252,1.218,1.167,0.975,1.045,0,0,0,62.7,61.9,0.0,0.34,0.329,14.8
172,iStock-2220840168.jpg,work,s6,T,1.499,1.07,1.056,1.079,1.142,0,0,0,85.3,62.9,0.0029,0.454,0.485,24.4
173,iStock-2223221030 (1).jpg,work,s6,T,2.079,1.025,1.098,1.053,1.438,0,0,0,159.2,70.1,0.0988,0.355,0.367,30.2
174,iStock-2231111850.jpg,social,s6,T,1.5,1.407,1.375,1.122,1.089,0,0,0,168.0,65.1,0.1561,0.179,0.139,24.5
175,iStock-2242235350 (1).jpg,clinical,s6,T,1.499,1.15,1.241,1.079,1.293,0,0,0,160.7,57.2,0.0055,0.133,0.136,-2.0
176,iStock-2243539588.jpg,strength,s3,N,1.499,1.1,1.212,1.024,1.332,0,0,0,56.0,45.1,0.0002,0.589,0.643,35.0
177,iStock-2258707795.jpg,nutrition,s6,N,1.5,1.375,1.364,1.075,1.111,0,0,0,199.0,51.7,0.207,0.107,0.062,12.0
178,iStock-2267959433.jpg,mind,s6,T,1.5,1.289,1.32,1.065,0.938,0,0,0,176.8,62.1,0.1434,0.359,0.346,62.6
179,iStock-2267959513.jpg,mind,s6,T,1.5,1.078,1.094,1.07,1.01,0,0,0,164.5,67.5,0.1131,0.444,0.361,74.9
180,iStock-467328525.jpg,mind,s3,N,0.98,1.004,1.014,1.036,1.02,0,0,0,182.3,52.6,0.0565,0.152,0.093,8.7
181,iStock-468992257.jpg,mind,s6,T,1.499,1.209,1.26,1.057,1.147,0,0,0,176.1,61.2,0.0142,0.185,0.173,9.7
182,iStock-477120698.jpg,mind,s6,T,1.499,1.09,1.033,1.075,0.986,0,0,0,174.9,65.2,0.1458,0.158,0.129,-0.7
183,iStock-477474594.jpg,mind,s6,T,1.499,1.029,0.94,1.073,1.182,0,0,0,119.8,62.6,0.0103,0.509,0.486,73.9
184,iStock-481242162.jpg,nutrition,s6,T,1.498,1.08,0.991,1.136,1.177,0,0,0,49.9,44.6,0.0,0.388,0.237,21.9
185,iStock-481520660.jpg,digital,s6,T,1.499,0.983,1.009,1.025,1.285,0,0,0,172.2,70.1,0.033,0.177,0.159,16.8
186,iStock-483004494.jpg,family,s6,T,1.499,1.031,1.071,1.046,1.359,0,0,0,195.9,56.0,0.2793,0.097,0.074,10.5
187,iStock-486500248.jpg,social,s6,T,1.5,1.302,1.328,1.081,1.132,0,0,0,193.3,59.4,0.2152,0.132,0.078,16.6
188,iStock-487960645.jpg,play,s6,T,1.5,1.004,0.955,1.029,1.218,0,0,0,135.6,59.7,0.0117,0.382,0.258,40.8
189,iStock-490815052.jpg,outdoors,s3,T,1.499,0.972,1.055,1.05,1.102,0,0,0,169.7,75.4,0.0348,0.207,0.205,25.5
190,iStock-491672524.jpg,digital,s6,N,0.667,1.109,1.003,1.148,1.147,0,0,0,177.9,56.6,0.0,0.202,0.172,29.5
191,iStock-492529287.jpg,portrait,s6,T,1.506,1.308,1.454,1.092,1.278,0,0,0,206.5,53.6,0.3955,0.074,0.032,6.5
192,iStock-493881144.jpg,mind,s6,T,1.419,1.815,1.944,1.181,1.368,0,0,0,179.7,53.8,0.0386,0.1,0.078,-10.2
193,iStock-495294628.jpg,social,s6,T,1.5,1.282,1.266,1.09,1.012,0,0,0,138.0,75.9,0.0002,0.323,0.276,13.6
194,iStock-500808858 (1).jpg,work,s6,T,1.5,1.498,1.428,1.089,1.136,0,0,0,197.6,41.2,0.0516,0.102,0.099,18.4
195,iStock-505244788.jpg,social,s6,T,1.669,1.513,1.662,1.065,0.993,0,0,0,174.8,56.5,0.0747,0.152,0.164,-4.2
196,iStock-506508780.jpg,family,s5,T,1.662,1.387,1.432,1.041,1.279,0,0,0,180.6,53.1,0.1053,0.305,0.244,54.4
197,iStock-507082202.jpg,move,s3,N,0.652,1.011,1.099,1.045,1.099,0,0,0,174.4,62.7,0.0496,0.163,0.126,22.7
198,iStock-515643880.jpg,mind,s1,T,1.669,1.256,1.363,1.065,1.251,0,0,0,167.9,59.2,0.0441,0.275,0.205,38.4
199,iStock-515858710.jpg,mind,s3,N,1.515,1.735,1.919,1.127,0.98,0,0,0,145.1,80.6,0.0451,0.568,0.614,86.9
200,iStock-517057532 (1).jpg,move,s3,N,0.66,1.631,1.628,1.368,1.253,0,0,0,169.6,56.6,0.0542,0.187,0.109,12.9
